Updated at 14:28:09,,,
,,Timestamp,Close Price
,.FTSE,6/5/2013,6419.31
,.FTSE,6/6/2013,6336.11
,.FTSE,6/7/2013,6411.99
,.FTSE,6/10/2013,6400.45
,.FTSE,6/11/2013,6340.08
,.FTSE,6/12/2013,6299.45
,.FTSE,6/13/2013,6304.63
,.FTSE,6/14/2013,6308.26
,.FTSE,6/17/2013,6330.49
,.FTSE,6/18/2013,6374.21
,.FTSE,6/19/2013,6348.82
,.FTSE,6/20/2013,6159.51
,.FTSE,6/21/2013,6116.17
,.FTSE,6/24/2013,6029.1
,.FTSE,6/25/2013,6101.91
,.FTSE,6/26/2013,6165.48
,.FTSE,6/27/2013,6243.4
,.FTSE,6/28/2013,6215.47
,.FTSE,7/1/2013,6307.78
,.FTSE,7/2/2013,6303.94
,.FTSE,7/3/2013,6229.87
,.FTSE,7/4/2013,6421.67
,.FTSE,7/5/2013,6375.52
,.FTSE,7/8/2013,6450.07
,.FTSE,7/9/2013,6513.08
,.FTSE,7/10/2013,6504.96
,.FTSE,7/11/2013,6543.41
,.FTSE,7/12/2013,6544.94
,.FTSE,7/15/2013,6586.11
,.FTSE,7/16/2013,6556.35
,.FTSE,7/17/2013,6571.93
,.FTSE,7/18/2013,6634.36
,.FTSE,7/19/2013,6630.67
,.FTSE,7/22/2013,6623.17
,.FTSE,7/23/2013,6597.44
,.FTSE,7/24/2013,6620.43
,.FTSE,7/25/2013,6587.95
,.FTSE,7/26/2013,6554.79
,.FTSE,7/29/2013,6560.25
,.FTSE,7/30/2013,6570.95
,.FTSE,7/31/2013,6621.06
,.FTSE,8/1/2013,6681.98
,.FTSE,8/2/2013,6647.87
,.FTSE,8/5/2013,6619.58
,.FTSE,8/6/2013,6604.21
,.FTSE,8/7/2013,6511.21
,.FTSE,8/8/2013,6529.68
,.FTSE,8/9/2013,6583.39
,.FTSE,8/12/2013,6574.34
,.FTSE,8/13/2013,6611.94
,.FTSE,8/14/2013,6587.43
,.FTSE,8/15/2013,6483.34
,.FTSE,8/16/2013,6499.99
,.FTSE,8/19/2013,6465.73
,.FTSE,8/20/2013,6453.46
,.FTSE,8/21/2013,6390.84
,.FTSE,8/22/2013,6446.87
,.FTSE,8/23/2013,6492.1
,.FTSE,8/27/2013,6440.97
,.FTSE,8/28/2013,6430.06
,.FTSE,8/29/2013,6483.05
,.FTSE,8/30/2013,6412.93
,.FTSE,9/2/2013,6506.19
,.FTSE,9/3/2013,6468.41
,.FTSE,9/4/2013,6474.74
,.FTSE,9/5/2013,6532.44
,.FTSE,9/6/2013,6547.33
,.FTSE,9/9/2013,6530.74
,.FTSE,9/10/2013,6583.99
,.FTSE,9/11/2013,6588.43
,.FTSE,9/12/2013,6588.98
,.FTSE,9/13/2013,6583.8
,.FTSE,9/16/2013,6622.86
,.FTSE,9/17/2013,6570.17
,.FTSE,9/18/2013,6558.82
,.FTSE,9/19/2013,6625.39
,.FTSE,9/20/2013,6596.43
,.FTSE,9/23/2013,6557.37
,.FTSE,9/24/2013,6571.46
,.FTSE,9/25/2013,6551.53
,.FTSE,9/26/2013,6565.59
,.FTSE,9/27/2013,6512.66
,.FTSE,9/30/2013,6462.22
,.FTSE,10/1/2013,6460.01
,.FTSE,10/2/2013,6437.5
,.FTSE,10/3/2013,6449.04
